iter	RMSE
0	902.8560525
1	873.9237519
2	846.3191012
3	821.0517367
4	797.4220849
5	774.1720426
6	752.1800661
7	730.8216325
8	711.3181953
9	690.5415201
10	669.3845998
11	649.227393
12	628.9972675
13	611.6589939
14	593.6945748
15	575.0480832
16	558.2417266
17	542.8588602
18	527.2220653
19	513.6169874
20	498.2106354
21	485.2211832
22	472.1633852
23	458.4609279
24	445.7964825
25	434.9564523
26	424.3369813
27	413.3225502
28	402.1081152
29	391.9876095
30	382.125329
31	372.5152931
32	363.2022218
33	352.2191128
34	343.9950051
35	335.5530116
36	325.8860351
37	316.3537415
38	309.2948828
39	302.1611986
40	294.2614955
41	285.6217789
42	278.7747862
43	271.7221979
44	265.467306
45	258.9895308
46	252.5705446
47	245.4319008
48	239.3221801
49	233.7666851
50	228.2323876
51	222.1408466
52	216.6672493
53	211.2078261
54	206.6749167
55	202.2057716
56	196.8704466
57	192.6773274
58	189.2096286
59	184.9495451
60	180.6673771
61	177.1314522
62	172.9818969
63	168.7503229
64	165.0181797
65	162.0971519
66	159.0137049
67	155.7830478
68	152.6726529
69	149.3843753
70	146.3308593
71	142.9932636
72	140.7121725
73	137.9576934
74	135.3920534
75	133.0183343
76	130.7133017
77	128.4873395
78	126.0670379
79	124.3184236
80	122.2782587
81	120.2430384
82	118.5315557
83	116.4104397
84	114.8752075
85	113.0796934
86	111.1824349
87	109.5828778
88	107.9387339
89	106.4090178
90	104.8808448
91	103.37791
92	101.8598576
93	100.3455188
94	98.93284741
95	97.66994139
96	96.81315582
97	95.71144738
98	94.6435197
99	93.44762387
100	92.36316869
101	91.2385821
102	90.20983175
103	89.32274249
104	88.2946966
105	87.29836982
106	86.28969005
107	85.66530982
108	84.74045885
109	83.91323808
110	83.017574
111	82.30092284
112	81.57019306
113	80.81116805
114	80.12858259
115	79.64326989
116	78.95960217
117	78.31519845
118	77.57431888
119	77.02612187
120	76.35226054
121	76.08857615
122	75.41659027
123	74.81906819
124	74.40598362
125	74.08319071
126	73.56590088
127	73.15605023
128	72.64295762
129	72.04509643
130	71.79815596
131	71.37845629
132	70.95881742
133	70.51277543
134	70.31372091
135	69.87838181
136	69.33751689
137	68.92017446
138	68.45460965
139	68.0409964
140	67.68439749
141	67.34867461
142	66.99263957
143	66.79193579
144	66.50012034
145	66.12977492
146	65.96552689
147	65.81700829
148	65.3982908
149	65.02556036
150	64.67067892
151	64.26504911
152	63.92373613
153	63.62283236
154	63.25132842
155	63.0960649
156	62.76918414
157	62.57828751
158	62.26538647
159	62.00164541
160	61.85776105
161	61.62171849
162	61.28795226
163	61.06012243
164	60.88536185
165	60.5311476
166	60.37545166
167	60.19002137
168	60.00768341
169	59.85136674
170	59.60478769
171	59.41416482
172	59.21226408
173	58.87845145
174	58.74644835
175	58.58734334
176	58.47806641
177	58.20007236
178	58.08549228
179	57.93154148
180	57.7256173
181	57.52480198
182	57.36767413
183	57.16767277
184	57.00645912
185	56.92685248
186	56.70893475
187	56.42443599
188	56.15170069
189	56.00561341
190	55.9369939
191	55.76957737
192	55.63300546
193	55.48600649
194	55.29098205
195	55.12025008
196	54.99554652
197	54.69054402
198	54.49124621
199	54.40749195
200	54.25283847
201	54.037312
202	53.74205695
203	53.5288156
204	53.39788664
205	53.14146003
206	53.05752776
207	52.8926139
208	52.60402784
209	52.55259111
210	52.49138399
211	52.44768345
212	52.3148468
213	52.21648143
214	52.01658221
215	51.80753118
216	51.74490538
217	51.68332405
218	51.61286774
219	51.43755721
220	51.2061721
221	51.15356551
222	51.06364911
223	51.01798604
224	50.96312378
225	50.7097841
226	50.66058154
227	50.60472059
228	50.55672426
229	50.49402324
230	50.18648887
231	50.03477172
232	49.87457246
233	49.79744095
234	49.75712653
235	49.71770102
236	49.67203707
237	49.63238719
238	49.37503081
239	49.15728126
240	49.11560626
241	48.98475028
242	48.84229257
243	48.78110647
244	48.5240132
245	48.30318646
246	48.11564991
247	48.07299191
248	47.88284363
249	47.69678271
250	47.58238877
251	47.36982742
252	47.28777775
253	47.08407287
254	47.01151764
255	46.83971705
256	46.71478243
257	46.54647245
258	46.42193737
259	46.23713808
260	46.08266474
261	45.95771628
262	45.77776808
263	45.67025122
264	45.54023827
265	45.37613108
266	45.18277248
267	45.14518013
268	45.0736098
269	44.91652246
270	44.70072276
271	44.47520207
272	44.42513045
273	44.25287249
274	44.20725815
275	43.98919748
276	43.74107752
277	43.57677294
278	43.4116388
279	43.23542051
280	43.12684943
281	43.09893426
282	42.8942033
283	42.81057725
284	42.64968904
285	42.49731971
286	42.36033831
287	42.33627933
288	42.30401745
289	42.13448621
290	41.96222737
291	41.80325479
292	41.65097278
293	41.54788375
294	41.51449788
295	41.49711329
296	41.32912386
297	41.27068631
298	41.13239266
299	41.0904199
300	40.9262443
301	40.81778049
302	40.71009782
303	40.60048587
304	40.49152373
305	40.29826562
306	40.12336751
307	39.9339216
308	39.76927803
309	39.73722222
310	39.64195068
311	39.49322439
312	39.33739406
313	39.12919698
314	39.093316
315	38.94873644
316	38.91311692
317	38.75919288
318	38.61941199
319	38.58630595
320	38.44292331
321	38.25401724
322	38.17504547
323	37.99736483
324	37.95332966
325	37.8254576
326	37.64899811
327	37.52649466
328	37.36926015
329	37.34950545
330	37.15478948
331	36.96837058
332	36.87377587
333	36.69653606
334	36.56382743
335	36.43675706
336	36.34523567
337	36.18865233
338	36.03271815
339	35.89993459
340	35.79363775
341	35.65021158
342	35.50622221
343	35.37668495
344	35.2421995
345	35.1224217
346	35.05640087
347	35.02856232
348	34.86222287
349	34.74458431
350	34.60262019
351	34.57429017
352	34.46694023
353	34.44215607
354	34.33822773
355	34.1973709
356	34.16902251
357	34.07422009
358	33.91966885
359	33.81527988
360	33.6564899
361	33.53537355
362	33.40899286
363	33.38158683
364	33.24434639
365	33.14381128
366	33.01626737
367	32.92830285
368	32.82696196
369	32.72114699
370	32.58636668
371	32.46980552
372	32.31450494
373	32.23402974
374	32.12398711
375	32.00386849
376	31.88880108
377	31.76008809
378	31.64160847
379	31.55107069
380	31.45587128
381	31.37628856
382	31.25194113
383	31.11615503
384	31.00997558
385	30.89572708
386	30.77838497
387	30.70843364
388	30.57974768
389	30.46808438
390	30.44726701
391	30.35092846
392	30.24649734
393	30.12366614
394	30.0424207
395	29.93575694
396	29.86106804
397	29.76822077
398	29.66019344
399	29.5449155
400	29.42942863
401	29.31133504
402	29.19386492
403	29.11878873
404	29.01513539
405	28.90352203
406	28.79125384
407	28.7192677
408	28.6420813
409	28.60380351
410	28.51668746
411	28.43470851
412	28.34144724
413	28.24138391
414	28.16331987
415	28.0752349
416	27.99575869
417	27.93553808
418	27.84078471
419	27.75447768
420	27.64337715
421	27.5751066
422	27.50760987
423	27.42027476
424	27.30412129
425	27.247787
426	27.15924404
427	27.09957412
428	27.0553164
429	27.00572141
430	26.93233088
431	26.8421268
432	26.80274803
433	26.74704346
434	26.67387718
435	26.63453187
436	26.57418571
437	26.51190195
438	26.42402353
439	26.35446011
440	26.24354475
441	26.18551456
442	26.09883964
443	26.03750721
444	25.95368757
445	25.85123165
446	25.79514883
447	25.69519404
448	25.63474193
449	25.57523097
450	25.51053609
451	25.45941876
452	25.35512172
453	25.29893978
454	25.20550666
455	25.11532205
456	25.09918206
457	25.02180946
458	25.00136147
459	24.93253749
460	24.8413809
461	24.78245929
462	24.6699391
463	24.59526375
464	24.53455758
465	24.45510955
466	24.36715028
467	24.29207672
468	24.19842496
469	24.10375714
470	24.02520408
471	23.96797996
472	23.87969084
473	23.8486179
474	23.77105582
475	23.67668666
476	23.61327312
477	23.59922126
478	23.54392609
479	23.49067465
480	23.44078643
481	23.3327054
482	23.267564
483	23.19157869
484	23.13365176
485	23.08782671
486	23.02424192
487	22.96832375
488	22.93243453
489	22.86387241
490	22.77963452
491	22.72779547
492	22.6586203
493	22.57901052
494	22.5263483
495	22.4828229
496	22.39355841
497	22.31931553
498	22.24047994
499	22.18420225
500	22.1037769
501	22.06850433
502	22.01880278
503	21.98082878
504	21.93573139
505	21.89316266
506	21.82019216
507	21.79411323
508	21.7474479
509	21.70276924
510	21.65906023
511	21.58751603
512	21.54722091
513	21.48434526
514	21.43837331
515	21.40220024
516	21.35304258
517	21.30103687
518	21.27640948
519	21.2190496
520	21.19597602
521	21.13391362
522	21.08684941
523	21.04659809
524	20.97735742
525	20.91063013
526	20.87090969
527	20.81520313
528	20.76627974
529	20.72103804
530	20.67687549
531	20.59855164
532	20.5543202
533	20.50212512
534	20.45117126
535	20.36843324
536	20.33334624
537	20.31079469
538	20.2554631
539	20.18696131
540	20.12771207
541	20.08616172
542	20.04696186
543	20.01922917
544	19.95050365
545	19.92088808
546	19.88709856
547	19.83268907
548	19.80914294
549	19.76930272
550	19.69326552
551	19.6473771
552	19.58605595
553	19.54182147
554	19.48489384
555	19.45078444
556	19.39990822
557	19.37721503
558	19.33046239
559	19.29198634
560	19.23590501
561	19.17369467
562	19.13695573
563	19.08809217
564	19.06085903
565	19.02946758
566	18.96309814
567	18.91859231
568	18.85311531
569	18.81132964
570	18.76285687
571	18.72444737
572	18.68331242
573	18.61551611
574	18.55604224
575	18.49137192
576	18.4619051
577	18.42260581
578	18.39001198
579	18.35497123
580	18.29547152
581	18.25272348
582	18.21007913
583	18.17305766
584	18.14161804
585	18.09479061
586	18.05857966
587	18.00132196
588	17.95765205
589	17.91240215
590	17.86283071
591	17.80724225
592	17.75043913
593	17.71340181
594	17.68966294
595	17.64099495
596	17.61792044
597	17.57329505
598	17.53157596
599	17.48641535
600	17.44048646
601	17.3912031
602	17.35940708
603	17.31949361
604	17.26399279
605	17.22261669
606	17.17753973
607	17.1482144
608	17.12046223
609	17.08744644
610	17.06381467
611	17.01898806
612	16.96674699
613	16.94123183
614	16.90876107
615	16.86330949
616	16.80720908
617	16.7755947
618	16.73892536
619	16.69520085
620	16.64764023
621	16.6227327
622	16.58891838
623	16.5570268
