year,month,day,store_ABC,store_XYZ,mape
2022,2,2,0.0,1.0,0.07589369476104993
2022,2,2,1.0,0.0,0.07273739162756239
2022,2,3,0.0,1.0,0.06531239435975034
2022,2,3,1.0,0.0,0.06012021279649882
2022,2,4,0.0,1.0,0.07483290151690396
2022,2,4,1.0,0.0,0.009742863502751666
2022,2,5,0.0,1.0,0.019233471289945524
2022,2,5,1.0,0.0,0.08956395836466363
2022,2,6,0.0,1.0,0.084293900095414
2022,2,6,1.0,0.0,0.060391933015389004
2022,2,7,0.0,1.0,0.013587262453690359
2022,2,7,1.0,0.0,0.10043447398942888
2022,2,8,0.0,1.0,0.02374468433348924
2022,2,8,1.0,0.0,0.05078466739398041
2022,2,9,0.0,1.0,0.032939152031065934
2022,2,9,1.0,0.0,0.06564920654745116
2022,2,10,0.0,1.0,0.04794964852481359
2022,2,10,1.0,0.0,0.07156541435717984
2022,2,11,0.0,1.0,0.02215207475207216
2022,2,11,1.0,0.0,0.05725655593665915
2022,2,12,0.0,1.0,0.05646518918609142
2022,2,12,1.0,0.0,0.03631699512334757
2022,2,13,0.0,1.0,0.11653506251596803
2022,2,13,1.0,0.0,0.08604233820841728
2022,2,14,0.0,1.0,0.031895065008690555
2022,2,14,1.0,0.0,0.06076027802460925
2022,2,15,0.0,1.0,0.038336822540455624
2022,2,15,1.0,0.0,0.04122455213713728
2022,2,16,0.0,1.0,0.01381718421066242
2022,2,16,1.0,0.0,0.023677562322245178
2022,2,17,0.0,1.0,0.03195079928804915
2022,2,17,1.0,0.0,0.06988742969731249
2022,2,18,0.0,1.0,0.040005550797002375
2022,2,18,1.0,0.0,0.08568812996125467
2022,2,19,0.0,1.0,0.08440126856694506
2022,2,19,1.0,0.0,0.05858389607357123
2022,2,20,0.0,1.0,0.12547788178909955
2022,2,20,1.0,0.0,0.05177917222387304
2022,2,21,0.0,1.0,0.04828062037437151
2022,2,21,1.0,0.0,0.04804250599614276
2022,2,22,0.0,1.0,0.025831698651619227
2022,2,22,1.0,0.0,0.061408149546910894
2022,2,23,0.0,1.0,0.013740252023618539
2022,2,23,1.0,0.0,0.02210669512938328
2022,2,24,0.0,1.0,0.036413348898399464
2022,2,24,1.0,0.0,0.05195696072154993
2022,2,25,0.0,1.0,0.055295143504088706
2022,2,25,1.0,0.0,0.06966440810204433
2022,2,26,0.0,1.0,0.1388971343508282
2022,2,26,1.0,0.0,0.026209948764245372
2022,2,27,0.0,1.0,0.2336854971730926
2022,2,27,1.0,0.0,0.0838563239069051
2022,2,28,0.0,1.0,0.09704122219325169
2022,2,28,1.0,0.0,0.0509579200131432
